,alias,multipleImage,weekday,numberLikesCategory,amount_relevant_tags,moving_avg,numberPosts,numberFollowers,numberFollowing,website_available
546,princepelayo,False,Monday,10,2,23610.0,5003,979755,411,1
547,princepelayo,False,Saturday,10,1,28786.2,5003,979755,411,1
548,princepelayo,False,Wednesday,10,1,26548.2,5003,979755,411,1
550,princepelayo,False,Saturday,10,0,28786.2,5003,979755,411,1
551,princepelayo,False,Wednesday,10,2,26548.2,5003,979755,411,1
552,princepelayo,False,Sunday,10,0,26550.6,5003,979755,411,1
555,princepelayo,False,Saturday,10,1,28786.2,5003,979755,411,1
556,princepelayo,False,Tuesday,10,0,25538.2,5003,979755,411,1
559,princepelayo,False,Monday,9,0,23610.0,5003,979755,411,1
560,princepelayo,False,Thursday,8,0,28802.0,5003,979755,411,1
561,lasselom,False,Tuesday,10,0,29958.8,301,603652,251,1
562,lasselom,False,Friday,10,2,27084.0,301,603652,251,1
564,lasselom,False,Tuesday,10,0,28925.0,301,603652,251,1
565,lasselom,False,Wednesday,10,1,26740.0,301,603652,251,1
567,lasselom,False,Friday,10,3,29680.4,301,603652,251,1
568,lasselom,False,Sunday,10,2,31136.4,301,603652,251,1
570,lasselom,False,Sunday,10,0,27709.4,301,603652,251,1
571,lasselom,False,Wednesday,10,1,33386.0,301,603652,251,1
572,lasselom,False,Saturday,10,0,33225.8,301,603652,251,1
